year_month,savi_path,status
2023-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-november.tif,success
2023-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-october.tif,success
2023-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-september.tif,success
2024-april,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-april.tif,success
2024-august,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-august.tif,success
2024-december,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-december.tif,success
2024-february,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-february.tif,success
2024-january,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-january.tif,success
2024-july,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-july.tif,success
2024-june,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-june.tif,success
2024-march,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-march.tif,success
2024-may,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-may.tif,success
2024-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-november.tif,success
2024-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-october.tif,success
2024-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-september.tif,success
